demo.CandID,demo.age_bin,u1,u2,u3
223008,30,"Mommy, we go to library with Nana. [NAME1] hit me on my arm. Where is [NAME1], I want to go to [NAME2]'s house too. [PII Reviewed]",NA,NA
334324,30,Me all done sit my rock.,No me warm.,My dump truck new. [PII Reviewed]
425428,30,"Mommy, I did it! I don't want to. Daddy, play with me. [PII Reviewed]",NA,NA
222881,30,"Look mommy, I eat another bite.",What's in the bucket?,Where did my [NAME] go? [PII Reviewed]
262208,30,I want more yogurt from the big container please.,Is my [NAME] going to come to see me today and put me night-night?,mommy can you sit down and play with me on the floor? [PII Reviewed]
138813,30,"If you do that, I will be angry at you.",That is [NAME]'s car. I gave it to him.,I want to read the color book first.// [PII Reviewed]
116845,30,Mommy I want more milk. ,Mommy I miss [NAME1]. ,I want to see [NAME2]. //I want to color. [PII Reviewed]
927564,30,"Mama, time to go now?",Monsters live there. ,"Daddy go work, mom? [PII Reviewed]"
423548,30,I need to see the dinosaurs and fishies and animals. ,Mommy mommy come here I need help. ,No I am not ready for nap time. // [PII Reviewed]
320544,30,He frequently speaks in long sentences...,,"Last week, we went to a going away party for Daddy at the office and now he is at a new office.////I dont care for clementine oranges, I want something else!!////Baby [NAME] was crying so I sang him a song to cheer him up and now hes not sad anymore! [PII Reviewed]"
932286,30,"No daddy, I want more juice",I don't want it,I will help you [PII Reviewed]
125632,24,I got it mama ,I'll go get it [PII Reviewed],NA
755330,30,"That not a bathroom, that a port-a-potty","I no pee in your car, Mommy",Two blue cars like Mama's [PII Reviewed]
801091,30,"Go outside, yeah. Thank you (mama, dada, etc.), Bye bye (mama, dada, etc.), Read books. [PII Reviewed]",NA,NA
176427,30,Will you lay with me for a little bit? [PII Reviewed],NA,NA
557806,30,i want my milk and cookies on the sofa with ipad right now please,i want to eat by myself please on the big girl chair,i want to play with my baby brother// [PII Reviewed]
812574,30,I saw the sweeper truck in the parking lot but it gone now., [PII Reviewed],NA
116056,30,I want to go to....,Can we take the puppies to the puppy park?,Where are we going after nap? [PII Reviewed]
883901,30,My mommy is coming back after lunch and I don't have to take a nap.,My daddy went on an airplane to [NAME OF COUNTRY].,My baby needs a snack because she is hungry. [PII Reviewed]
406768,30,I'm going to take a bath tomorrow. ,,"the doctor gave me strawberries. I like strawberries at home, not at the doctor's. [PII Reviewed]"
940808,30,I want Daddy to stay home all day and play with [NAME] and me. Please put more water in my water bottle and bring it to me. I want to read 8 more books before bedtime. [PII Reviewed],NA,NA
879509,30,I didn't fill out the rest of the form b/c my child says all of the words listed and it was taking too long to click them all. ,,"""Actually mama, I want the string cheese instead of the apple for my snack"" //""Look at those spooky decorations our neighbors have for Halloween"" //""Baby Jack can play with my blocks and my recorder, but he can't play with my paw patrol dog or my turtle"""
978698,30,"I'm going to the park with Mama and Daddy, Okay?","Doctor hurt Mama's tummy, she feels sad.","First we take a nap, then we go to target? [PII Reviewed]"
295081,30,And then after we pick up [NAME] we're gonna go to he store and get some snacks and read some books. And then we went to the zoo and we saw penguins and monkeys and went to the bird show. After I eat it all up in my tummy-tum-tum I'm gonna get a treat and then it will be time to take a bath. [PII Reviewed],NA,NA
284149,30,"No we need to make the door, you need to help me make the door.","Now we're all done, all done, ok now you have to keep those on, can you keep those on so I can take them off?","I have one to pull and i have one to carry, those are heavy for you, they're heavy for you."
282791,31,No mommy I don't want that.,He is eating dinosaur eggs.,I want to go to my grandma's house. [PII Reviewed]
675362,36,Mommy's gonna do a couch nap and then I sleep for a little bit and then I put my boots on and go to my crib.,[NAME] tooked my book when I was using it and then he went BAM on me like this and it hurted.,We're going to be scientists and my blankie and my wubba and my monkey and my Oso are gonna come too. [PII Reviewed]
266437,36,Why did you turn the car around?,When are we going to get home?,"She talks non stop, how can I even remember three sentences? [PII Reviewed]"
601017,25,I no like that.,Please I want more fish.,Where go kitty food? [PII Reviewed]
601017,31,I pooped in the potty and not in my underwear.,I need the carrot please [NAME1] (brother).,Here come's Mr. Broccoli and here comes [NAME2]! [PII Reviewed]
234130,25,"1. I not go see friends, mommy. ",2. [NAME] runned away. ,3. I go night-night mommy. [PII Reviewed]
234130,31,You have to go to work mommy? I want to go to the park and swing and slide. [PII Reviewed],NA,NA
